sno,latitude,longitude,day_of_year,seconds_of_day
500105044,24.99151,121.56836,129,52802
500105045,24.99111,121.56703,129,25803
500105046,24.97989,121.56753,129,84004
500105047,24.99889,121.5433,130,3317
500105048,24.99939,121.55848,130,1204
500105049,24.99579,121.55498,129,84316
500105050,25.00348,121.55642,130,11404
500105051,25.00079,121.57534,130,18004
500105053,24.99797,121.54982,129,69675
500105054,24.98543,121.58006,130,5041
500105055,25.00115,121.55142,130,19561
500105056,24.99271,121.55865,129,8642
500105057,24.99472,121.55949,129,52635
500105058,24.98695,121.56456,127,49204
500105059,24.98662,121.57071,130,18902
500105060,24.98339,121.55645,129,82202
500105061,25.00753,121.53719,130,18302
500105062,24.99766,121.57875,306,13755
500105063,24.982,121.5717,130,16262
500105064,25.00264,121.5768,129,56403
500105066,25.01076,121.53637,130,19442
500105067,25.00345,121.53636,130,18601
500105068,24.99609,121.54284,130,1576
500105069,24.9966,121.5403,130,19561
500105070,25.00825,121.53419,130,19083
500105071,24.99279,121.54255,130,17702
500105072,24.98939,121.57682,130,541
500105073,25.00743,121.55877,130,19442
500105074,24.99696,121.54454,130,3374
500105075,24.98768,121.56565,130,18362
500105076,24.98944,121.56195,130,8642
500105077,24.98808,121.54723,130,19322
500105079,24.9825,121.55949,130,19203
500105080,25.00223,121.57039,130,17702
500105081,25.00198,121.54856,130,18123
500105082,24.99197,121.57371,130,662
500105083,24.98532,121.55831,130,13214
500105084,24.98655,121.5552,129,21722
500105085,24.98217,121.55782,130,16321
500105086,25.00268,121.55277,129,82096
500105087,24.99925,121.55553,130,16682
500105088,24.97932,121.55406,129,83403
500105089,24.99892,121.54887,130,11716
500105090,24.99509,121.57199,130,17343
500105091,25.00437,121.55048,130,5041
500105092,24.98839,121.55238,130,13938
500105093,25.00492,121.55582,129,82817
500105094,25.00061,121.54941,130,5161
500105095,24.99746,121.54543,130,11943
500105096,24.98184,121.56125,129,73337
500105097,24.99438,121.54376,129,44236
500105098,24.99442,121.53844,130,12004
500105100,24.9884,121.57786,129,82817
500105101,24.9983,121.57279,130,1204
500105102,24.98981,121.54783,130,12856
500105103,24.98783,121.55831,129,19922
500105104,25.00516,121.56757,129,41655
500105106,24.98994,121.57513,130,1204
500105107,25.00335,121.5655,128,40817
500105108,24.9893,121.53976,130,17463
500105109,24.98826,121.54065,130,18004
500105110,24.98327,121.56515,130,17822
500105111,24.98505,121.54953,130,3782
500105112,24.99715,121.56179,129,40203
500105113,24.98703,121.54884,130,3182
500105114,24.98686,121.56301,129,56655
500106001,25.013741,121.53068,130,21915
500106002,25.014697,121.531908,130,13682
500106003,25.014529,121.534374,130,19515
500106004,25.015069,121.533828,130,16382
500106005,25.02694,121.52224,130,17881
500106006,25.0255,121.52346,130,10682
500106007,25.0197,121.529,130,19442
500106008,25.02069,121.52456,130,5342
500106009,25.02277,121.52289,130,1204
500106010,25.02092,121.52049,129,83475
500106011,25.02075,121.52771,130,18123
500106012,25.02102,121.52751,130,18123
500106013,25.02345,121.52498,130,17582
500106014,25.02338,121.51889,130,19203
500106015,25.02701,121.52164,130,13803
500106016,25.02805,121.52155,130,675
500106017,25.02698,121.52081,130,3722
500106018,25.02723,121.51659,130,18842
500106019,25.02933,121.51854,129,84603
500106020,25.02923,121.52058,130,5222
500106021,25.031,121.52211,130,17881
500106022,25.03239,121.51866,130,3722
500106023,25.03376,121.51772,130,21375
500106025,25.02609,121.51389,130,7277
500106026,25.02543,121.51052,130,18842
500106027,25.02643,121.50936,130,12004
500106028,25.02598,121.50806,130,9063
500106029,25.02886,121.50518,130,17942
500106030,25.03024,121.50904,129,81854
500106031,25.03132,121.50745,129,56403
500106037,25.01602,121.52565,130,17222
500106038,25.03543,121.50834,130,3182
500106039,25.03567,121.51006,130,13682
500106040,25.03907,121.5138,129,85803
500106041,25.03938,121.50772,130,16096
500106042,25.04367,121.52849,130,14822
500106043,25.04527,121.5222,130,18302
500106044,25.04193,121.52459,130,6781
500106046,25.03915,121.52163,130,8281
500106047,25.03786,121.51985,130,7764
500106048,25.0357,121.5241,130,18242
500106049,25.04428,121.52336,130,3374
500106050,25.03648,121.50951,130,662
500106051,25.03792,121.50846,130,5117
500106052,25.0416,121.50842,130,19754
500106053,25.04129,121.5112,130,5536
500106054,25.03705,121.51249,129,82156
500106055,25.03545,121.51327,130,16682
500106056,25.03763,121.51709,130,18242
500106057,25.0459,121.53068,130,19322
500106058,25.03516,121.50641,130,18421
500106059,25.04412,121.51025,130,11175
500106060,25.04533,121.50944,130,16203
500106061,25.04677,121.50989,130,21375
500106062,25.04297,121.51643,130,18601
500106063,25.01027,121.5331,130,18063
500106064,25.0203,121.52302,129,85203
500106065,25.04178,121.51907,130,8404
500106066,25.03377,121.53041,130,18781
500106067,25.04842,121.51994,130,19742
500106068,25.03132,121.50519,130,15302
500106069,25.04235,121.53222,130,17582
500106070,25.04478,121.53274,130,15302
500106071,25.04503,121.51968,130,14762
500106072,25.03526,121.5168,130,18601
500106073,25.04553,121.52736,129,81604
500106074,25.02266,121.52362,130,18063
500106075,25.03443,121.52721,130,17222
500106077,25.04094,121.52215,130,18063
500106078,25.04023,121.52565,130,19561
500106079,25.03615,121.5166,129,84603
500106080,25.04821,121.51903,130,20416
500106083,25.04779,121.52042,130,19322
500106084,25.04244,121.50864,130,17942
500106085,25.03828,121.51524,130,3782
500106086,25.0385,121.51288,129,82876
500106087,25.01808,121.5275,129,82202
500106088,25.04051,121.52401,130,10682
500106089,25.03145,121.51941,130,16682
500106090,25.01328,121.53004,130,10804
500106091,25.03895,121.52233,130,4
500106092,25.04178,121.50869,130,18542
500106093,25.0384,121.52801,130,12122
500106094,25.03746,121.52799,130,19322
500106095,25.03846,121.52497,129,67635
500106096,25.02815,121.51108,130,11522
500106097,25.0299,121.51033,130,15841
500106098,25.03158,121.51464,130,16382
500106099,25.04659,121.52377,130,15315
500106100,25.04597,121.52579,129,81016
500106101,25.04692,121.52208,130,14281
500106102,25.04272,121.53207,130,9302
500106103,25.04113,121.53273,130,4454
500106104,25.04074,121.51586,130,12902
500106105,25.04461,121.5188,130,19742
500106106,25.0425,121.5227,130,7204
500106107,25.03837,121.52345,129,55203
500106108,25.02703,121.50686,130,17881
500106109,25.03371,121.51068,130,19322
500106110,25.04467,121.52357,130,15242
500106111,25.03788,121.51904,129,82817
500106112,25.04724,121.51272,130,15841
500106113,25.04127,121.52697,130,18302
500106114,25.03811,121.52855,130,8342
500106115,25.04148,121.5287,130,13202
500106116,25.02507,121.51645,130,17822
500106117,25.03898,121.53058,130,13022
500106118,25.03212,121.51861,130,18362
500106119,25.02484,121.51973,130,10682
500106120,25.02682,121.51737,130,8404
500106121,25.02965,121.51415,130,4082
500106122,25.0289,121.5097,129,62115
500106123,25.03796,121.53261,130,19742
500106124,25.04032,121.53141,130,19561
500106125,25.0275,121.51013,129,69255
500106126,25.04418,121.52552,130,17942
500106127,25.04281,121.52629,130,4203
500106128,25.02542,121.51233,130,6302
500106129,25.02757,121.50771,130,4
500106130,25.0255,121.52067,129,62418
500106131,25.03862,121.52385,129,77403
500106132,25.03896,121.51093,130,8281
500106133,25.03351,121.5156,129,68535
500106134,25.03008,121.50768,130,19742
500106135,25.01346,121.5355,130,9004
500106136,25.01193,121.52861,130,17942
500106138,25.0426,121.53006,129,82804
500107001,25.08251,121.54004,130,17343
500107002,25.07805,121.5295,130,18374
500107003,25.0803,121.56251,129,74475
500107004,25.08524,121.53748,129,46395
500107005,25.08258,121.54462,130,19322
500107006,25.08009,121.55226,130,17942
500107007,25.08474,121.54968,130,19083
500107008,25.084751813542,121.555090270105,130,22515
500107009,25.07985,121.55609,130,9782
500107010,25.07976,121.55813,130,18781
500107011,25.07923,121.5473,129,86176
500107012,25.04585,121.54375,130,19203
500107013,25.05176,121.54217,130,15903
500107014,25.04833,121.53469,130,14355
500107015,25.04861,121.52935,130,17702
500107016,25.04796,121.52439,79,26476
500107017,25.05194,121.52766,130,18842
500107018,25.05316,121.53146,129,81796
500107019,25.05025,121.53273,130,15781
500107020,25.05639,121.52752,130,4982
500107021,25.06642,121.53735,130,14404
500107022,25.05778,121.53692,130,19203
500107023,25.05606,121.54175,130,18781
500107024,25.06106,121.54406,130,18362
500107025,25.06045,121.54077,130,19203
500107026,25.05469,121.53686,130,10383
500107027,25.05214,121.5368,130,14762
500107028,25.05246,121.5332,130,16923
500107029,25.04762,121.54043,130,17894
500107030,25.05604,121.53166,130,3182
500107031,25.0471,121.5277,130,11282
500107032,25.04699,121.53735,129,64456
500107033,25.0614,121.53929,130,18601
500107034,25.06225,121.54107,130,17942
500107035,25.06246,121.52705,130,14523
500107036,25.05992,121.5333,130,19742
500107037,25.06531,121.52565,130,19561
500107038,25.06283,121.52697,130,18123
500107039,25.06491,121.52449,130,8642
500107040,25.06652,121.52762,130,16804
500107041,25.06847,121.52559,130,18842
500107042,25.06987,121.52291,130,15181
500107043,25.06816,121.52265,130,8404
500107044,25.04983,121.52853,130,19322
500107045,25.05201,121.52556,130,21375
500107046,25.05337,121.5289,129,86056
500107047,25.05583,121.52821,130,1805
500107048,25.06682,121.54213,130,16682
500107049,25.06505,121.54366,129,83403
500107050,25.06424,121.54037,130,18902
500107051,25.06251,121.53765,130,4082
500107052,25.06585,121.53338,129,82202
500107053,25.06533,121.53177,130,15302
500107054,25.06595,121.53041,130,13022
500107055,25.06833,121.5328,130,18242
500107056,25.07154,121.53058,130,18842
500107057,25.06185,121.5226,90,23654
500107058,25.04573,121.53508,130,17702
500107059,25.05228,121.52176,130,15604
500107060,25.06416,121.52203,130,20114
500107061,25.06839,121.53032,129,85203
500107062,25.05867,121.53305,130,18242
500107063,25.05497,121.52536,130,18302
500107064,25.06503,121.53678,130,1204
500107065,25.04985,121.53312,130,4982
500107066,25.04836,121.53669,130,9302
500107067,25.04611,121.53193,130,18063
500107068,25.06269,121.53061,130,18302
500107069,25.0651,121.5224,130,18842
500107070,25.05575,121.52168,130,17161
500107071,25.0568,121.53191,129,40203
500107072,25.05731,121.53021,130,11522
500107074,25.05808,121.52887,130,18542
500107075,25.05794,121.54244,130,3722
500107076,25.06028,121.52991,130,16804
500107077,25.05606,121.5229,26,59595
500107078,25.05873,121.52488,130,19322
500107079,25.05955,121.52744,130,11943
500107080,25.0734,121.53985,130,21194
500107081,25.07275,121.5373,130,19203
500107082,25.06807,121.53673,130,19442
500107083,25.05619,121.53949,130,18302
500107084,25.06597,121.54117,130,3604
500107085,25.06142,121.52305,130,20654
500107086,25.08303,121.5604,130,20775
500107087,25.06157,121.52439,130,19083
500107088,25.05189,121.53517,130,17161
500107089,25.05205,121.54012,130,19203
500107090,25.06389,121.51916,130,11282
500107091,25.08152,121.54646,130,19742
500107092,25.0801,121.54708,130,19561
